path,method,guest_status,super_admin_status
/api/v2/admin/credentials/rotate,POST,422,422
/api/v2/admin/credentials,GET,401,200
/api/v2/admin/auth-mode,GET,200,200
/api/v2/admin/auth-mode,POST,422,422
/api/v2/admin/token/status,GET,200,200
/api/v2/admin/token/refresh,POST,400,400
/api/v2/admin/ws/status,GET,200,200
/api/v2/admin/subscriptions,GET,200,200
/api/v2/admin/mode,GET,200,200
/api/v2/admin/mode,POST,422,422
/api/v2/admin/greeks/interval,POST,422,422
/api/v2/admin/close-price/rollover,POST,401,200
/api/v2/admin/subscriptions/rollover,POST,401,500
/api/v2/admin/users,GET,401,200
/api/v2/admin/users,POST,401,422
/api/v2/admin/schedulers,GET,401,200
/api/v2/admin/schedulers/{name}/{action},POST,401,400
/api/v2/admin/users/{user_id},GET,401,500
/api/v2/admin/users/{user_id},PATCH,401,500
/api/v2/admin/users/{user_id}/funds,POST,401,422
/api/v2/admin/brokerage-plans/,GET,500,500
/api/v2/admin/brokerage-plans/,POST,401,422
/api/v2/admin/brokerage-plans,GET,500,500
/api/v2/admin/brokerage-plans,POST,401,422
/api/v2/admin/rate-limits,GET,200,200
/api/v2/admin/subscription-lists/{list_name},GET,400,400
/api/v2/admin/subscription-lists/{list_name},POST,400,400
/api/v2/admin/subscription-lists/{list_name}/symbols/,GET,400,400
/api/v2/admin/subscription-lists/{list_name}/symbols,GET,400,400
/api/v2/admin/scrip-master/refresh,POST,ERR,ERR
/api/v2/admin/scrip-master/status,GET,200,200
/api/v2/admin/credentials/active,GET,200,200
/api/v2/admin/credentials/save,POST,200,200
/api/v2/admin/auth-mode/switch,POST,422,422
/api/v2/admin/auth-status,GET,200,200
/api/v2/admin/auth-mode/reattempt,POST,200,200
/api/v2/admin/vps-monitor/status,GET,401,200
/api/v2/admin/vps-monitor/samples,GET,401,200
/api/v2/admin/vps-monitor/start,POST,401,200
/api/v2/admin/vps-monitor/stop,POST,401,200
/api/v2/admin/notifications,GET,200,200
/api/v2/admin/market-config,GET,200,200
/api/v2/admin/market-config,POST,200,200
/api/v2/admin/reload-scrip-master,POST,ERR,ERR
/api/v2/admin/diagnose-login,POST,400,400
/api/v2/admin/backdate-position,POST,401,200
/api/v2/admin/force-exit,POST,200,200
/api/v2/admin/upload-nse-files,POST,200,200
/api/v2/admin/dhan/status,GET,401,200
/api/v2/admin/dhan/connect,POST,ERR,ERR
/api/v2/admin/dhan/disconnect,POST,200,200
/api/v2/admin/dhan/subscriptions,GET,200,200
/api/v2/admin/positions/userwise,GET,401,200
/api/v2/admin/brokerage-plans/{plan_id},PUT,401,400
/api/v2/admin/brokerage-plans/{plan_id},DELETE,401,400
/api/v2/admin/users/{user_id}/brokerage-plans,POST,401,500
/api/v2/admin/users/{user_id}/soft-delete,POST,401,500
/api/v2/admin/users/archived,GET,401,500
/api/v2/admin/users/{user_id}/positions/delete-all,POST,401,500
/api/v2/admin/users/{user_id}/positions/delete-specific,POST,401,200
/api/v2/admin/users/{user_id}/positions,GET,401,200
/api/v2/admin/charge-calculation/status,GET,401,200
/api/v2/admin/charge-calculation/run,POST,401,200
/api/v2/admin/charge-calculation/recompute-historic,POST,401,200
/api/v2/admin/logo/upload,POST,401,422
/api/v2/admin/logo,GET,200,200
/api/v2/admin/logo,DELETE,401,200
/api/v2/admin/option-chain/recalibrate-atm,POST,401,200
/api/v2/admin/option-chain/rebuild-skeleton,POST,401,ERR
/api/v2/market/underlying-ltp/{symbol},GET,200,200
/api/v2/market/quote,GET,422,422
/api/v2/market/snapshot/{token},GET,404,404
/api/v2/market/stream-status,GET,200,200
/api/v2/market/etf-tierb-status,GET,200,200
/api/v2/market/stream-reconnect,POST,ERR,ERR
/api/v2/options/live,GET,422,422
/api/v2/options/available/expiries,GET,422,422
/api/v2/watchlist/{user_id},GET,422,422
/api/v2/watchlist/add,POST,401,422
/api/v2/watchlist/remove,POST,401,422
/api/v2/trading/orders,POST,401,400
/api/v2/trading/orders,GET,401,200
/api/v2/trading/orders/executed,GET,401,200
/api/v2/trading/orders/historic/orders,GET,401,200
/api/v2/trading/orders/{order_id},GET,401,404
/api/v2/trading/orders/{order_id},DELETE,401,404
/api/v2/portfolio/positions/,GET,401,500
/api/v2/portfolio/positions,GET,401,500
/api/v2/portfolio/positions/equity-holdings/,GET,401,500
/api/v2/portfolio/positions/equity-holdings,GET,401,500
/api/v2/portfolio/positions/{position_id}/close,POST,401,500
/api/v2/portfolio/positions/pnl/summary/,GET,401,500
/api/v2/portfolio/positions/pnl/summary,GET,401,500
/api/v2/portfolio/positions/pnl/historic/,GET,401,500
/api/v2/portfolio/positions/pnl/historic,GET,401,500
/api/v2/ledger,GET,401,200
/api/v2/payouts/,GET,401,200
/api/v2/payouts/,POST,401,422
/api/v2/payouts,GET,401,200
/api/v2/payouts,POST,401,422
/api/v2/payouts/{payout_id}/,PATCH,401,422
/api/v2/payouts/{payout_id},PATCH,401,422
/api/v2/auth/login,POST,422,422
/api/v2/auth/logout,POST,200,200
/api/v2/auth/me,GET,401,401
/api/v2/auth/portal/signup,POST,422,422
/api/v2/auth/portal/users,GET,401,401
/api/v2/trading/basket-orders,GET,401,401
/api/v2/trading/basket-orders,POST,401,401
/api/v2/trading/basket-orders/execute,POST,401,401
/api/v2/trading/basket-orders/{basket_id},DELETE,404,404
/api/v2/trading/basket-orders/{basket_id}/legs,POST,404,404
/api/v2/trading/basket-orders/{basket_id}/margin,POST,404,404
/api/v2/margin/calculate,POST,200,200
/api/v2/margin/account,GET,401,401
/api/v2/margin/span-data,GET,200,200
/api/v2/margin/nse-refresh,POST,ERR,ERR
/api/v2/subscriptions/search,GET,200,200
/api/v2/instruments/search,GET,200,200
/api/v2/instruments/futures/search,GET,ERR,200
/api/v2/options/strikes/search,GET,200,200
/health,GET,200,200
/api/v2/health,GET,200,200
